,Title,PMID,Authors,Citation,First_Author,Journal/Book,Publication_Year/Date,PMCID,DOI,Keywords,N_Citations,Authors/Affiliations
23,Caveolin-mediated cytosolic delivery of spike nanoparticle enhances antitumor immunity of neoantigen vaccine for hepatocellular carcinoma,37554274,"Lin Z, Jiang C, Wang P, Chen Q, Wang B, Fu X, Liang Y, Zhang D, Zeng Y, Liu X",Theranostics. 2023 Jul 16;13(12):4166-4181. doi: 10.7150/thno.85843,Lin Z,Theranostics,"2023, 07/16/2023",PMC10405843,10.7150/thno.85843,"T cell immunoglobulin and mucin domain 3, Virus-like silicon nanoparticles, caveolin, immunotherapy, neoantigen",0,"{'Zhiwen Lin': ['The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou 350025, P. R. China.', ""Liver Disease Center, The First Affiliated Hospital of Fujian Medical University, Fuzhou 350005, People's Republic of China.""], 'Chenwei Jiang': ['The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou 350025, P. R. China.', ""Liver Disease Center, The First Affiliated Hospital of Fujian Medical University, Fuzhou 350005, People's Republic of China.""], 'Peiyuan Wang': ['CAS Key Laboratory of Design and Assembly of Functional Nanostructures, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences, Fuzhou 350002, P. R. China.'], 'Qingjing Chen': ['The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou 350025, P. R. China.'], 'Bing Wang': ['The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou 350025, P. R. China.'], 'Xinyue Fu': ['The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou 350025, P. R. China.'], 'Yuzhi Liang': ['The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou 350025, P. R. China.', 'Fujian Agriculture and Forestry University, Fuzhou 350002, P. R. China.'], 'Da Zhang': ['The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou 350025, P. R. China.', 'Mengchao Med-X Center, Fuzhou University, Fuzhou 350116, P. R. China.'], 'Yongyi Zeng': ['The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou 350025, P. R. China.', ""Liver Disease Center, The First Affiliated Hospital of Fujian Medical University, Fuzhou 350005, People's Republic of China.""], 'Xiaolong Liu': ['The United Innovation of Mengchao Hepatobiliary Technology Key Laboratory of Fujian Province, Mengchao Hepatobiliary Hospital of Fujian Medical University, Fuzhou 350025, P. R. China.', 'CAS Key Laboratory of Design and Assembly of Functional Nanostructures, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences, Fuzhou 350002, P. R. China.', 'Mengchao Med-X Center, Fuzhou University, Fuzhou 350116, P. R. China.']}"
24,Caveolin-Mediated Internalization of Fmoc-FF Nanogels in Breast Cancer Cell Lines,36986886,"Smaldone G, Rosa E, Gallo E, Diaferia C, Morelli G, Stornaiuolo M, Accardo A",Pharmaceutics. 2023 Mar 22;15(3):1026. doi: 10.3390/pharmaceutics15031026,Smaldone G,Pharmaceutics,"2023, 03/22/2023",PMC10051563,10.3390/pharmaceutics15031026,"Fmoc-FF peptide, breast cancer cell line, caveolin, diagnostic agents, endocytosis, nanogel",0,"{'Giovanni Smaldone': ['IRCCS Synlab SDN, Via Gianturco 113, 80143 Naples, Italy.'], 'Elisabetta Rosa': ['Department of Pharmacy and Research Centre on Bioactive Peptides (CIRPeB), University of Naples ""Federico II"", 80131 Naples, Italy.'], 'Enrico Gallo': ['IRCCS Synlab SDN, Via Gianturco 113, 80143 Naples, Italy.'], 'Carlo Diaferia': ['Department of Pharmacy and Research Centre on Bioactive Peptides (CIRPeB), University of Naples ""Federico II"", 80131 Naples, Italy.'], 'Giancarlo Morelli': ['Department of Pharmacy and Research Centre on Bioactive Peptides (CIRPeB), University of Naples ""Federico II"", 80131 Naples, Italy.'], 'Mariano Stornaiuolo': ['Department of Pharmacy and Research Centre on Bioactive Peptides (CIRPeB), University of Naples ""Federico II"", 80131 Naples, Italy.'], 'Antonella Accardo': ['Department of Pharmacy and Research Centre on Bioactive Peptides (CIRPeB), University of Naples ""Federico II"", 80131 Naples, Italy.']}"
25,Caveolin-1 promotes glioma progression and maintains its mitochondrial inhibition resistance,37642765,"Liu Y, Chen Y, Wang F, Lin J, Tan X, Chen C, Wu LL, Zhang X, Wang Y, Shi Y, Yan X, Zhao K",Discov Oncol. 2023 Aug 29;14(1):161. doi: 10.1007/s12672-023-00765-5,Liu Y,Discov Oncol,"2023, 08/29/2023",PMC10465474,10.1007/s12672-023-00765-5,"CAV1, DNA methylation, Drug resistance, Glioma, Immunotherapy",0,"{""Yu'e Liu"": ['Department of Neurosurgery, Shanghai East Hospital, School of Medicine, Tongji University, Shanghai, 200120, China.'], 'Yi Chen': ['The China-US (Henan) Hormel Cancer Institute, Zhengzhou, 450000, China.'], 'Fei Wang': ['Shanghai Pudong Hospital, Pudong Medical Center, Fudan University, Shanghai, 201399, China.'], 'Jianghua Lin': ['Department of Neurosurgery, Shanghai East Hospital, School of Medicine, Tongji University, Shanghai, 200120, China.'], 'Xiao Tan': [""Tongji University Cancer Center, Shanghai Tenth People's Hospital of Tongji University, School of Medicine, Tongji University, Shanghai, 200092, China.""], 'Chao Chen': ['Department of Neurosurgery, Changhai Hospital, No. 168 Changhai Road, Shanghai, 200433, China.'], 'Lei-Lei Wu': ['Department of Thoracic Surgery, Shanghai Pulmonary Hospital, School of Medicine, Tongji University, Shanghai, 200433, China.'], 'Xiaoling Zhang': ['National Joint Engineering Laboratory for Human Disease Animal Models, First Affiliated Hospital of Jilin University, Changchun, China.', 'Key Laboratory of Organ Regeneration and Transplantation, First Hospital of Jilin University, Changchun, China.'], 'Yi Wang': [""Department of Critical Care Medicine, Sichuan Academy of Medical Science and Sichuan Provincial People's Hospital, University of Electronic Science and Technology of China, Chengdu, China.""], 'Yufeng Shi': [""Tongji University Cancer Center, Shanghai Tenth People's Hospital of Tongji University, School of Medicine, Tongji University, Shanghai, 200092, China."", 'Clinical Center for Brain and Spinal Cord Research, Tongji University, Shanghai, 200092, China.'], 'Xiaoli Yan': ['Laboratory of Immunology and Pathogen Biology, School of Medicine, Tongji University, Shanghai, 200092, China. yanxl72@tongji.edu.cn.'], 'Kaijun Zhao': ['Department of Neurosurgery, Shanghai East Hospital, School of Medicine, Tongji University, Shanghai, 200120, China. zkjwcfzwh@163.com.']}"
26,Peritumoral adipose tissue promotes lipolysis and white adipocytes browning by paracrine action,37181035,"Pagnotta P, Gantov M, Fletcher S, Lombardi A, Crosbie ML, Santiso N, Ursino A, Frascarolli C, Amato A, Dreszman R, Calvo JC, Toneatto J",Front Endocrinol (Lausanne). 2023 Apr 26;14:1144016. doi: 10.3389/fendo.2023.1144016,Pagnotta P,Front Endocrinol (Lausanne),"2023, 04/26/2023",PMC10170974,10.3389/fendo.2023.1144016,"browning, human breast adipose tissue, lipolysis, paracrine action, tumor microenvironment",0,"{'Priscila Pagnotta': ['Institute of Biology and Experimental Medicine (IBYME), CONICET, Buenos Aires, Argentina.', 'Department of Biological Chemistry, Faculty of Exact and Natural Sciences, University of Buenos Aires, Buenos Aires, Argentina.'], 'Mariana Gantov': ['Institute of Biology and Experimental Medicine (IBYME), CONICET, Buenos Aires, Argentina.'], 'Sabrina Fletcher': ['Institute of Biology and Experimental Medicine (IBYME), CONICET, Buenos Aires, Argentina.'], 'Antonella Lombardi': ['Institute of Neurosciences (INEU) FLENI-CONICET, Buenos Aires, Argentina.'], 'María Lujan Crosbie': ['Breast Surgery Section, Churruca-Visca Police Medical Centre, Buenos Aires, Argentina.'], 'Natalia Santiso': ['Breast Surgery Section, Churruca-Visca Police Medical Centre, Buenos Aires, Argentina.'], 'Anabela Ursino': ['Breast Surgery Section, Churruca-Visca Police Medical Centre, Buenos Aires, Argentina.'], 'Celeste Frascarolli': ['Breast Surgery Section, Churruca-Visca Police Medical Centre, Buenos Aires, Argentina.'], 'Alicia Amato': ['Breast Surgery Section, Churruca-Visca Police Medical Centre, Buenos Aires, Argentina.'], 'Rubén Dreszman': ['Microsurgery Clinic, Buenos Aires, Argentina.'], 'Juan Carlos Calvo': ['Institute of Biology and Experimental Medicine (IBYME), CONICET, Buenos Aires, Argentina.', 'Department of Biological Chemistry, Faculty of Exact and Natural Sciences, University of Buenos Aires, Buenos Aires, Argentina.'], 'Judith Toneatto': ['Institute of Biology and Experimental Medicine (IBYME), CONICET, Buenos Aires, Argentina.']}"
27,Polymer/Nanoceria Hybrid Polyplexes for Gene and Antioxidant Delivery,37493016,"Mott L, Hancock M, Grulke EA, Pack DW",ACS Appl Bio Mater. 2023 Aug 21;6(8):3166-3175. doi: 10.1021/acsabm.3c00295,Mott L,ACS Appl Bio Mater,"2023, 08/21/2023",,10.1021/acsabm.3c00295,"antioxidant, gene delivery, hybrid polyplex, nanoceria, polyethylenimine",0,"{'Landon Mott': ['Department of Chemical and Materials Engineering, University of Kentucky, Lexington, Kentucky 40506, United States.'], 'Matthew Hancock': ['Department of Chemical and Materials Engineering, University of Kentucky, Lexington, Kentucky 40506, United States.'], 'Eric A Grulke': ['Department of Chemical and Materials Engineering, University of Kentucky, Lexington, Kentucky 40506, United States.'], 'Daniel W Pack': ['Department of Chemical and Materials Engineering, University of Kentucky, Lexington, Kentucky 40506, United States.', 'Department of Pharmaceutical Sciences, University of Kentucky, Lexington, Kentucky 40536, United States.']}"
28,Sulfation of Heparan and Chondroitin Sulfate Ligands Enables Cell-Specific Homing of Nanoprobes,36325647,"Mardhekar S, Subramani B, Samudra P, Srikanth P, Mahida V, Ravindra Bhoge P, Toraskar S, Abraham NM, Kikkeri R",Chemistry. 2023 Feb 1;29(7):e202202622. doi: 10.1002/chem.202202622,Mardhekar S,Chemistry,"2023, 02/01/2023",,10.1002/chem.202202622,"CD44 receptor, chondrotin sulfate, gold nanoparticles, heparan sulfate, neural cell lines",0,"{'Sandhya Mardhekar': ['Department of Chemistry, Indian Institute of Science Education and Research, Dr. Homi Bhabha Road, Pune, 411008, India.'], 'Balamurugan Subramani': ['Department of Chemistry, Indian Institute of Science Education and Research, Dr. Homi Bhabha Road, Pune, 411008, India.'], 'Prasanna Samudra': ['Laboratory of Neural Circuits and Behaviour (LNCB) Department of Biology, Indian Institute of Science Education and Research, Dr. Homi Bhabha Road, Pune, 411008, India.'], 'Priyadharshini Srikanth': ['Laboratory of Neural Circuits and Behaviour (LNCB) Department of Biology, Indian Institute of Science Education and Research, Dr. Homi Bhabha Road, Pune, 411008, India.'], 'Virendrasinh Mahida': ['Department of Chemistry, Indian Institute of Science Education and Research, Dr. Homi Bhabha Road, Pune, 411008, India.'], 'Preeti Ravindra Bhoge': ['Department of Chemistry, Indian Institute of Science Education and Research, Dr. Homi Bhabha Road, Pune, 411008, India.'], 'Suraj Toraskar': ['Department of Chemistry, Indian Institute of Science Education and Research, Dr. Homi Bhabha Road, Pune, 411008, India.'], 'Nixon M Abraham': ['Laboratory of Neural Circuits and Behaviour (LNCB) Department of Biology, Indian Institute of Science Education and Research, Dr. Homi Bhabha Road, Pune, 411008, India.'], 'Raghavendra Kikkeri': ['Department of Chemistry, Indian Institute of Science Education and Research, Dr. Homi Bhabha Road, Pune, 411008, India.']}"
29,Investigation of the impact of Globo-H expression on the progression of gastric cancer,37560002,"Hsu HT, Kuo TM, Wei CY, Huang JY, Liu TW, Hsing MT, Lai MT, Chen CT",Am J Cancer Res. 2023 Jul 15;13(7):2969-2983,Hsu HT,Am J Cancer Res,"2023, 07/15/2023",PMC10408484,,"Globo-H, HER2, caveolin-1, gastric cancer, immunotherapy, micro-western array",0,"{'Hui-Ting Hsu': ['Department of Pathology, Changhua Christian Hospital Changhua, Taiwan.', 'Institute of Medicine, Chung Shan Medical University Taichung, Taiwan.', 'School of Medicine, Chung Shan Medical University Taichung, Taiwan.', 'Department of Pathology, China Medical University Hospital Taichung, Taiwan.'], 'Tzer-Min Kuo': ['OBI Pharma, Inc. Taipei, Taiwan.'], 'Cheng-Yen Wei': ['OBI Pharma, Inc. Taipei, Taiwan.'], 'Jye-Yu Huang': ['OBI Pharma, Inc. Taipei, Taiwan.'], 'Ting-Wei Liu': ['OBI Pharma, Inc. Taipei, Taiwan.'], 'Ming-Tai Hsing': ['Department of Neurosurgery, Changhua Christian Hospital Changhua, Taiwan.'], 'Ming-Tain Lai': ['OBI Pharma, Inc. Taipei, Taiwan.'], 'Chun-Te Chen': ['OBI Pharma, Inc. Taipei, Taiwan.']}"
30,ROS impairs tumor vasculature normalization through an endocytosis effect of caveolae on extracellular SPARC,37528424,"Zhao Y, Yu J, Huang A, Yang Q, Li G, Yang Y, Chen Y",Cancer Cell Int. 2023 Aug 1;23(1):152. doi: 10.1186/s12935-023-03003-8,Zhao Y,Cancer Cell Int,"2023, 08/01/2023",PMC10394868,10.1186/s12935-023-03003-8,"Caveolae SPARC, Endocytosis effect, ROS, Vasculature normalization",0,"{'Ye Zhao': ['Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, 430022, China.', 'Institute of Radiation Oncology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China.'], 'Jing Yu': ['Department of Radiation and Medical Oncology, Hubei Key Laboratory of Tumor Biological Behaviors, Hubei Cancer Clinical Study Center, Zhongnan Hospital of Wuhan University, Wuhan, China.'], 'Ai Huang': ['Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, 430022, China.', 'Institute of Radiation Oncology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China.'], 'Qin Yang': ['Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, 430022, China.', 'Institute of Radiation Oncology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China.'], 'Guiling Li': ['Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, 430022, China.', 'Institute of Radiation Oncology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China.'], 'Yong Yang': ['Department of Radiation Oncology, Fujian Medical University Union Hospital, Fuzhou, 350001, China. dr_yangyong1983@163.com.'], 'Yeshan Chen': ['Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, 430022, China. chenyeshan2014@163.com.', 'Institute of Radiation Oncology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China. chenyeshan2014@163.com.']}"
31,EHD2 overexpression promotes tumorigenesis and metastasis in triple-negative breast cancer by regulating store-operated calcium entry,36625722,"Luan H, Bielecki TA, Mohapatra BC, Islam N, Mushtaq I, Bhat AM, Mirza S, Chakraborty S, Raza M, Storck MD, Toss MS, Meza JL, Thoreson WB, Coulter DW, Rakha EA, Band V, Band H",Elife. 2023 Jan 10;12:e81288. doi: 10.7554/eLife.81288,Luan H,Elife,"2023, 01/10/2023",PMC9988264,10.7554/eLife.81288,"EHD2, Orai1, SOCE, STIM1, cancer biology, caveolae, caveolin-1, caveolin-2, cell migration, human, invasiveness, metastasis, triple negative breast cancer, tumorigenesis",1,"{'Haitao Luan': ['Eppley Institute for Research in Cancer and Allied Diseases, University of Nebraska Medical Center, Omaha, United States.'], 'Timothy A Bielecki': ['Eppley Institute for Research in Cancer and Allied Diseases, University of Nebraska Medical Center, Omaha, United States.'], 'Bhopal C Mohapatra': ['Department of Genetics, Cell Biology and Anatomy, College of Medicine, University of Nebraska Medical Center, Omaha, United States.', 'Fred & Pamela Buffett Cancer Center, University of Nebraska Medical Center, Omaha, United States.'], 'Namista Islam': ['Eppley Institute for Research in Cancer and Allied Diseases, University of Nebraska Medical Center, Omaha, United States.', 'Department of Genetics, Cell Biology and Anatomy, College of Medicine, University of Nebraska Medical Center, Omaha, United States.'], 'Insha Mushtaq': ['Eppley Institute for Research in Cancer and Allied Diseases, University of Nebraska Medical Center, Omaha, United States.', 'Department of Pathology & Microbiology, College of Medicine, University of Nebraska Medical Center, Omaha, United States.'], 'Aaqib M Bhat': ['Eppley Institute for Research in Cancer and Allied Diseases, University of Nebraska Medical Center, Omaha, United States.', 'Department of Genetics, Cell Biology and Anatomy, College of Medicine, University of Nebraska Medical Center, Omaha, United States.'], 'Sameer Mirza': ['Department of Genetics, Cell Biology and Anatomy, College of Medicine, University of Nebraska Medical Center, Omaha, United States.'], 'Sukanya Chakraborty': ['Eppley Institute for Research in Cancer and Allied Diseases, University of Nebraska Medical Center, Omaha, United States.', 'Department of Genetics, Cell Biology and Anatomy, College of Medicine, University of Nebraska Medical Center, Omaha, United States.'], 'Mohsin Raza': ['Department of Genetics, Cell Biology and Anatomy, College of Medicine, University of Nebraska Medical Center, Omaha, United States.'], 'Matthew D Storck': ['Eppley Institute for Research in Cancer and Allied Diseases, University of Nebraska Medical Center, Omaha, United States.'], 'Michael S Toss': ['Department of Histopathology, Nottingham University Hospital NHS Trust, City Hospital Campus, Nottingham, United Kingdom.'], 'Jane L Meza': ['Fred & Pamela Buffett Cancer Center, University of Nebraska Medical Center, Omaha, United States.', 'Department of Biostatistics, College of Public Health, University of Nebraska Medical Center, Omaha, United States.'], 'Wallace B Thoreson': ['Stanley M. Truhlsen Eye Institute, University of Nebraska Medical Center, Omaha, United States.'], 'Donald W Coulter': ['Fred & Pamela Buffett Cancer Center, University of Nebraska Medical Center, Omaha, United States.', 'Department of Pediatrics, University of Nebraska Medical Center, Omaha, United States.'], 'Emad A Rakha': ['Department of Histopathology, Nottingham University Hospital NHS Trust, City Hospital Campus, Nottingham, United Kingdom.'], 'Vimla Band': ['Department of Genetics, Cell Biology and Anatomy, College of Medicine, University of Nebraska Medical Center, Omaha, United States.', 'Fred & Pamela Buffett Cancer Center, University of Nebraska Medical Center, Omaha, United States.'], 'Hamid Band': ['Eppley Institute for Research in Cancer and Allied Diseases, University of Nebraska Medical Center, Omaha, United States.', 'Department of Genetics, Cell Biology and Anatomy, College of Medicine, University of Nebraska Medical Center, Omaha, United States.', 'Fred & Pamela Buffett Cancer Center, University of Nebraska Medical Center, Omaha, United States.', 'Department of Pathology & Microbiology, College of Medicine, University of Nebraska Medical Center, Omaha, United States.']}"
32,Caveolin-1-ACE2 axis modulates xenobiotic metabolism-linked chemoresistance in ovarian clear cell carcinoma,35622184,"Nagappan A, Kim KH, Moon Y",Cell Biol Toxicol. 2023 Aug;39(4):1181-1201. doi: 10.1007/s10565-022-09733-1,Nagappan A,Cell Biol Toxicol,2023,PMC9136213,10.1007/s10565-022-09733-1,"Angiotensin-converting enzyme 2, Aryl hydrocarbon receptor, Caveolin-1, Chemotherapy, Ovarian clear cell carcinoma, Xenobiotic metabolism",1,"{'Arulkumar Nagappan': ['Laboratory of Mucosal Exposome and Biomodulation, Department of Integrative Biomedical Sciences, Pusan National University, Yangsan, 50612, Korea.'], 'Ki-Hyung Kim': ['Laboratory of Mucosal Exposome and Biomodulation, Department of Integrative Biomedical Sciences, Pusan National University, Yangsan, 50612, Korea.', 'Department of Obstetrics and Gynecology, College of Medicine, Pusan National University, Busan, Korea.', 'Biomedical Research Institute, Pusan National University Hospital, Busan, Korea.'], 'Yuseok Moon': ['Laboratory of Mucosal Exposome and Biomodulation, Department of Integrative Biomedical Sciences, Pusan National University, Yangsan, 50612, Korea. moon@pnu.edu.', 'Biomedical Research Institute, Pusan National University Hospital, Busan, Korea. moon@pnu.edu.', 'Graduate Program of Genomic Data Sciences, Pusan National University, Yangsan, 50612, Korea. moon@pnu.edu.']}"
33,Caveolin Gene Expression Predicts Clinical Outcomes for Early-Stage HER2-Negative Breast Cancer Treated with Paclitaxel-Based Chemotherapy in the GeparSepto Trial,37432976,"Williams TM, Schneeweiss A, Jackisch C, Shen C, Weber KE, Fasching PA, Denkert C, Furlanetto J, Heinmöller E, Schmatloch S, Karn T, Szeto CW, van Mackelenbergh MT, Nekljudova V, Stickeler E, Soon-Shiong P, Schem C, Mairinger T, Müller V, Marme F, Untch M, Loibl S",Clin Cancer Res. 2023 Sep 1;29(17):3384-3394. doi: 10.1158/1078-0432.CCR-23-0362,Williams TM,Clin Cancer Res,"2023, 09/01/2023",,10.1158/1078-0432.CCR-23-0362,"Our findings indicate high CAV1/2 expression is associated with worse DFS and OS in paclitaxel-treated patients Conversely, in nab-paclitaxel-treated patients, high CAV1/2 expression is associated with increased pCR and no significant detriment to DFS or OS compared with low CAV1/2 expression",1,"{'Terence M Williams': ['Department of Radiation Oncology, City of Hope National Medical Center, Duarte, California.'], 'Andreas Schneeweiss': ['Nationales Centrum für Tumorerkrankungen, Heidelberg, Germany.'], 'Christian Jackisch': ['Sana Klinikum Offenbach, Offenbach, Germany.'], 'Changxian Shen': ['Department of Radiation Oncology, City of Hope National Medical Center, Duarte, California.'], 'Karsten E Weber': ['German Breast Group, Neu-Isenburg, Germany.'], 'Peter A Fasching': ['Department of Gynecology and Obstetrics, University Hospital Erlangen, Comprehensive Cancer Center Erlangen-EMN, Friedrich-Alexander University Erlangen-Nuremberg, Erlangen, Germany.'], 'Carsten Denkert': ['Institut für Pathologie Philipps-Universität Marburg, Marburg, Germany.'], 'Jenny Furlanetto': ['German Breast Group, Neu-Isenburg, Germany.'], 'Ernst Heinmöller': ['Pathologie Nordhessen, Kassel, Germany.'], 'Sabine Schmatloch': ['Elisabeth-Krankenhaus Kassel, Germany.'], 'Thomas Karn': ['Department of Gynecology and Obstetrics, Goethe University Frankfurt, Frankfurt, Germany.'], 'Christopher W Szeto': ['NantOmics, LLC, Culver City, California.'], 'Marion T van Mackelenbergh': ['Universitätsklinikum Schleswig-Holstein, Kiel, Germany.'], 'Valentina Nekljudova': ['German Breast Group, Neu-Isenburg, Germany.'], 'Elmar Stickeler': ['Uniklinik RWTH Achen, Aachen, Germany.'], 'Patrick Soon-Shiong': ['NantOmics, LLC, Culver City, California.'], 'Christian Schem': ['Mammazentrum Hamburg, Hamburg, Germany.'], 'Thomas Mairinger': ['HELIOS Klinikum Berlin Buch, Berlin, Germany.'], 'Volkmar Müller': ['Universitätsklinikum Hamburg-Eppendorf, Hamburg, Germany.'], 'Frederik Marme': ['Universitätsfrauenklinik Mannheim, Mannheim, Germany.'], 'Michael Untch': ['HELIOS Klinikum Berlin Buch, Berlin, Germany.'], 'Sibylle Loibl': ['German Breast Group, Neu-Isenburg, Germany.', 'Centre for Haematology and Oncology, Bethanien Frankfurt/M, Germany.']}"
